inputFile,proc_name,kernel_entry,kernel_Time,PGFLT_Count,PGFLT_Minor,PGFLT_Major,PGFLT_Time,PGFLT_Minor_Time,PGFLT_Major_Time,BRK_Count,BRK_Time,MMAP_count,MMAP_Time,Mremap_count,Mremap_Time,Total_Time,O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,Total_Kernel_Allocation,Total_User_Allocation
./tensorFlowExamples/cartpole.py.log,python3.4,210628,307541618,209636,209636,0,301749179,304816503,0,269,428007,558,2297108,0,0,322285578,43837,2,0,1,0,0,0,0,0,44,271880192,7340874132
./flinkExamples/PartCQuestion1-2.sh.log,java,167409,865649355,164221,164176,0,854899032,855423945,0,24,10361,3134,10020769,0,0,877367985,130413,5,0,366,0,0,0,0,0,1681,4071518208,260527220931
./flinkExamples/PartCQuestion1-1.sh.log,java,137906,493644716,134738,134705,0,483031715,483732603,0,24,10080,3158,9785714,0,0,503298136,132270,6,0,322,0,0,0,0,0,941,2525798400,260459862211
./sparkExamples/ml.TfIdfExample.log,java,277178,826162949,268986,268891,0,765045852,767831820,0,30,18749,8112,57864712,0,0,845565409,256055,31,0,179,0,0,0,0,0,2854,7040192512,149486404787
./sparkExamples/ml.OneHotEncoderExample.log,java,282151,768952554,273794,273713,0,730435446,734142952,0,30,17418,8280,34419726,0,0,788703124,269705,53,1,238,0,0,0,0,0,3016,7437971456,147766653251
./sparkExamples/ml.IndexToStringExample.log,java,273115,765102377,264747,264662,0,727798036,731197245,0,30,18068,8252,33507077,0,0,784220427,258953,55,3,226,0,0,0,0,0,3089,7546679296,148694360387
./sparkExamples/ml.GBTExample.log,java,11474,66521565,10677,10677,0,65033662,65014095,0,6,2246,791,1505224,0,0,67324745,10225,0,0,0,0,0,0,0,0,126,306122752,10405752647
./sparkExamples/ml.ModelSelectionViaTrainValidationSplitExample.log,java,720314,2029235489,710338,710200,0,1981720045,1985746829,0,30,15827,9846,42724874,0,0,2079657469,591019,30,1,261,0,0,0,0,0,6765,16616861696,156516100855
./sparkExamples/ml.BucketizerExample.log,java,195588,447234532,188769,188738,0,422834508,426391246,0,30,20462,6709,20684329,0,0,460925692,182879,41,0,136,0,0,0,0,0,1222,3316584448,134453815064
./sparkExamples/ml.NaiveBayesExample.log,java,446152,1389671416,437055,436961,0,1348961153,1353044456,0,30,14950,9057,36215599,0,0,1420902056,405803,58,2,239,0,0,0,0,0,5053,12267417600,155244511743
./sparkExamples/ml.DataFrameExample.log,java,445315,1170644405,436233,436161,0,1132609507,1136759475,0,30,27177,8986,33490940,0,0,1201816455,421024,25,5,199,0,0,0,0,0,3928,9968934912,154034098764
./sparkExamples/SparkALS.log,java,316772,1231332899,308129,308038,0,1191966835,1195001701,0,30,17957,8554,35820310,0,0,1253506939,310686,82,2,371,0,0,0,0,0,5016,11804745728,152644767909
./sparkExamples/ml.RandomForestRegressorExample.log,java,529817,1472996063,520274,520170,0,1426688715,1430124055,0,30,13408,9450,42366544,0,0,1510083253,476381,36,2,268,0,0,0,0,0,5562,13624725504,155037600709
./sparkExamples/ml.MinMaxScalerExample.log,java,353333,956969298,344497,344408,0,919027086,922284174,0,30,14926,8760,34216873,0,0,981702608,322266,5,0,232,0,0,0,0,0,3710,9108078592,154019245949
./sparkExamples/ml.SimpleParamsExample.log,java,611426,1660502152,602042,601719,0,1614819657,1618814856,0,30,14008,9227,38763991,0,0,1703301972,514377,281,6,431,0,0,0,0,0,7460,17768165376,159897565176
./sparkExamples/ml.LinearRegressionExample.log,java,11684,74663336,10887,10887,0,73072919,73066826,0,6,2399,791,1594111,0,0,75481216,10429,0,0,0,0,0,0,0,0,124,302764032,10539913031
./sparkExamples/ml.ElementwiseProductExample.log,java,191757,469616375,185034,185000,0,447161609,449784491,0,30,15592,6716,19664865,0,0,483039365,177086,27,0,122,0,0,0,0,0,1201,3248242688,134598035224
./sparkExamples/ml.LinearRegressionWithElasticNetExample.log,java,530237,1464599589,520838,520744,0,1424262864,1428099104,0,30,12359,9273,36062364,0,0,1501716179,461680,17,0,223,0,0,0,0,0,5634,13713842176,153893120397
./sparkExamples/ml.OneVsRestExample.log,java,474902,1414256434,465567,465438,0,1372630602,1376470912,0,30,15412,9224,37126217,0,0,1447499574,416328,40,1,228,0,0,0,0,0,5505,13257916416,154748598399
./sparkExamples/graphx.TriangleCountingExample.log,java,324837,965584138,315890,315801,0,925136981,928319883,0,30,21792,8836,36722701,0,0,988322728,316705,4,1,256,0,0,0,0,0,4962,11711729664,155033781075
./sparkExamples/ml.LogisticRegressionWithElasticNetExample.log,java,357536,857220589,348976,348907,0,816995739,820232802,0,30,16550,8479,36665000,0,0,882248109,319652,17,0,211,0,0,0,0,0,3555,8771723264,152264489990
./sparkExamples/ml.NGramExample.log,java,195987,510925658,189157,189127,0,468920043,472838753,0,30,18906,6717,37916985,0,0,524644748,180810,0,0,132,0,0,0,0,0,1179,3217465344,135670871832
./sparkExamples/graphx.AggregateMessagesExample.log,java,258139,745840883,249771,249688,0,709280175,712062787,0,30,16713,8284,33364365,0,0,763910613,250302,34,1,206,0,0,0,0,0,3094,7520870400,153081755395
./sparkExamples/sql.RDDRelation.log,java,732093,1710969970,721407,721185,0,1656540329,1661956130,0,30,16254,10646,47248186,0,0,1762216480,668895,24,0,422,0,0,0,0,0,6713,16832000000,166384934176
./sparkExamples/mllib.LDAExample.log,java,12392,76182823,11593,11593,0,74637606,74686406,0,6,2045,793,1494372,0,0,77050263,11175,0,0,0,0,0,0,0,0,123,303722496,10338611015
./sparkExamples/ml.DecisionTreeClassificationExample.log,java,642802,1764273012,632989,632880,0,1719326738,1722798848,0,30,14264,9741,40987778,0,0,1809269152,572924,88,3,267,0,0,0,0,0,6445,15872360448,154539865270
./sparkExamples/ml.ALSExample.log,java,641878,1882874894,630716,630352,0,1827680881,1826254154,0,30,20128,11117,49422428,0,0,1927806354,538916,274,4,424,0,0,0,0,0,7729,18432491520,161111637105
./sparkExamples/ml.MaxAbsScalerExample.log,java,363108,1022564884,354290,354226,0,984114573,987744940,0,30,21070,8718,34506014,0,0,1047982444,332778,43,0,215,0,0,0,0,0,4022,9805201408,151957373785
./sparkExamples/sql.hive.SparkHiveExample.log,java,262004,638665449,254041,254006,9,607878538,611326720,0,38,40300,7809,27134708,0,0,657005729,245339,11,0,186,0,0,0,0,0,3013,7329812480,149510160143
./sparkExamples/ml.RFormulaExample.log,java,269512,740502750,261304,261231,0,703719991,707150358,0,30,25782,8104,32954332,0,0,759368590,251088,62,0,219,0,0,0,0,0,2975,7275167744,148498162867
./sparkExamples/sql.streaming.StructuredNetworkWordCountWindowed.log,java,10388,31537068,9596,9596,0,29764323,29785631,0,6,2317,786,1749120,0,0,32264228,9162,0,0,0,0,0,0,0,0,40,121413632,9868792863
./sparkExamples/ml.CountVectorizerExample.log,java,457863,1158309046,448620,448522,0,1108078182,1114435333,0,30,17657,9116,43311031,0,0,1190359456,420476,77,1,292,0,0,0,0,0,4818,11836563456,156103615516
./sparkExamples/sql.SQLDataSourceExample.log,java,146414,333565738,140698,140673,0,315973397,318085814,0,30,29341,5682,15317347,0,0,343814718,138419,9,0,68,0,0,0,0,0,864,2381205504,106583370968
./sparkExamples/ml.DeveloperApiExample.log,java,263573,740478483,255289,255213,0,706142673,709173308,0,30,15406,8202,30952595,0,0,758928593,246384,18,0,199,0,0,0,0,0,3041,7393296384,152015185075
./sparkExamples/mllib.RankingMetricsExample.log,java,843685,2923422964,811986,811090,0,2761184037,2756674825,0,30,18750,31552,156033566,0,0,2982480914,618803,714,42,734,0,0,0,0,0,11177,26005073920,161714768816
./sparkExamples/ml.LogisticRegressionExample.log,java,12450,70802114,11651,11651,0,69223124,69229252,0,6,2069,791,1570793,0,0,71673614,11236,0,0,0,0,0,0,0,0,125,308166656,10271477575
./sparkExamples/ml.Word2VecExample.log,java,322659,1058657068,313865,313762,0,1022727374,1026063152,0,30,18585,8694,32055555,0,0,1081243198,304100,49,4,219,0,0,0,0,0,4319,10310836224,155282947210
./sparkExamples/ml.QuantileDiscretizerExample.log,java,423674,1154603429,414762,414669,0,1113828501,1118882626,0,30,20106,8842,35233705,0,0,1184260609,394085,86,2,260,0,0,0,0,0,4607,11285008384,153484292971
./sparkExamples/ml.DecisionTreeRegressionExample.log,java,586807,1871993193,577195,577078,0,1828902284,1832871736,0,30,16961,9576,38537240,0,0,1913069683,521368,36,1,296,0,0,0,0,0,5882,14480982016,153180016230
./sparkExamples/ml.KMeansExample.log,java,523670,1899398969,514023,513941,0,1839461668,1843391399,0,30,21799,9571,55588938,0,0,1936055869,456466,46,1,261,0,0,0,0,0,6506,15522701312,156174586021
